City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saskylakh,RU,71.9167,114.0833,8.71,97,98,5.53,overcast clouds
79,Suhbaatar,MN,50.2314,106.2078,30.69,75,100,3.42,overcast clouds
80,Charters Towers,AU,-20.1,146.2667,76.71,76,27,16.17,scattered clouds
81,Muros,ES,42.7762,-9.0603,58.23,93,100,12.8,overcast clouds
82,Vostok,RU,46.4856,135.8833,26.37,95,15,1.32,few clouds
83,Hobart,AU,-42.8794,147.3294,56.26,65,75,3.0,broken clouds
84,Sola,VU,-13.8833,167.55,80.56,74,20,14.05,few clouds
85,Abu Dhabi,AE,24.4667,54.3667,84.22,74,0,4.61,clear sky
86,Thinadhoo,MV,0.5333,72.9333,82.58,77,100,19.51,overcast clouds
87,Kodiak,US,57.79,-152.4072,45.91,87,90,16.11,light rain
88,Port Elizabeth,ZA,-33.918,25.5701,66.09,94,0,9.22,clear sky
89,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,66,20,16.11,few clouds
90,Ugoofaaru,MV,5.6667,73.0,81.55,77,100,16.62,overcast clouds
91,Saint George,US,37.1041,-113.5841,81.07,28,1,3.0,clear sky
92,Vila Velha,BR,-20.3297,-40.2925,71.55,94,90,3.44,heavy intensity rain
93,Cabo San Lucas,MX,22.8909,-109.9124,87.62,63,40,4.0,scattered clouds
94,Balaguer,ES,41.7912,0.8109,65.41,94,100,3.94,overcast clouds
95,Longyearbyen,SJ,78.2186,15.6401,33.64,64,40,19.57,scattered clouds
96,Puro,PH,12.4841,123.3827,79.23,81,14,10.11,few clouds
97,Zaqatala,AZ,41.6336,46.6433,46.87,93,40,4.61,scattered clouds
98,Ponta Do Sol,PT,32.6667,-17.1,74.03,82,59,6.8,broken clouds
99,Bredasdorp,ZA,-34.5322,20.0403,57.27,77,100,8.75,overcast clouds
100,Mildura,AU,-34.2,142.15,58.96,41,99,0.0,overcast clouds
101,Mahebourg,MU,-20.4081,57.7,71.89,83,40,3.44,scattered clouds
102,Murakami,JP,38.2333,139.4833,54.12,78,38,2.86,scattered clouds
103,Butaritari,KI,3.0707,172.7902,81.36,77,40,9.86,light rain
104,Norman Wells,CA,65.282,-126.8329,23.04,93,75,8.05,broken clouds
105,Halifax,CA,44.6453,-63.5724,59.09,97,100,8.99,overcast clouds
106,Isangel,VU,-19.55,169.2667,77.88,73,43,7.36,scattered clouds
107,San Luis,AR,-33.295,-66.3356,51.03,87,100,16.33,overcast clouds
108,Kizukuri,JP,40.8061,140.3861,46.11,99,87,1.23,overcast clouds
109,Shingu,JP,33.7333,135.9833,58.89,83,79,4.52,broken clouds
110,Serenje,ZM,-13.2325,30.2352,70.59,39,17,4.56,few clouds
111,Kamen-Na-Obi,RU,53.7884,81.3423,25.21,82,97,10.51,overcast clouds
112,Atuona,PF,-9.8,-139.0333,78.6,76,5,20.76,clear sky
113,Xuddur,SO,4.1213,43.8894,75.34,66,51,17.54,broken clouds
114,Luau,AO,-10.7073,22.2247,67.69,88,95,0.72,light rain
115,Borovskoy,KZ,53.8,64.15,43.0,89,100,12.91,overcast clouds
116,Chegdomyn,RU,51.1167,133.0167,20.86,67,5,0.92,clear sky
117,Trenggalek,ID,-8.05,111.7167,75.67,92,100,0.47,overcast clouds
118,Bataysk,RU,47.1398,39.7518,49.82,76,0,10.92,clear sky
119,Khatanga,RU,71.9667,102.5,5.74,96,100,10.78,light snow
120,Touros,BR,-5.1989,-35.4608,81.5,75,76,15.52,broken clouds
121,Cabedelo,BR,-6.9811,-34.8339,81.27,73,59,15.21,broken clouds
122,Korla,CN,41.7597,86.1469,47.75,30,11,4.72,few clouds
123,Kangaatsiaq,GL,68.3065,-53.4641,35.13,84,100,21.36,overcast clouds
124,Jamestown,US,42.097,-79.2353,55.09,78,40,5.99,scattered clouds
125,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,74,20,3.0,few clouds
126,Port Alfred,ZA,-33.5906,26.891,66.54,83,81,15.77,broken clouds
127,Yellowknife,CA,62.456,-114.3525,34.41,91,40,10.36,scattered clouds
128,Boundiali,CI,9.5217,-6.4869,77.52,72,98,4.09,overcast clouds
129,Ramotswa,BW,-24.8716,25.8699,71.22,21,1,2.26,clear sky
130,Jijiga,ET,9.35,42.8,63.77,68,34,10.83,scattered clouds
131,Nuuk,GL,64.1835,-51.7216,36.21,93,75,24.16,light rain
132,Cap Malheureux,MU,-19.9842,57.6142,72.09,80,17,3.0,few clouds
133,Lazaro Cardenas,MX,17.9583,-102.2,83.62,70,100,7.38,overcast clouds
134,Ust-Karsk,RU,52.7011,118.8077,25.27,53,24,3.49,few clouds
135,Mathbaria,BD,22.2876,89.9593,68.05,72,11,6.2,few clouds
136,Iqaluit,CA,63.7506,-68.5145,33.53,86,75,3.0,light shower snow
137,Mingrelskaya,RU,45.0134,38.3379,47.21,82,95,6.17,overcast clouds
138,Leningradskiy,RU,69.3833,178.4167,-0.06,89,100,11.43,overcast clouds
139,Yulara,AU,-25.2406,130.9889,64.24,82,100,0.0,overcast clouds
140,Inta,RU,66.0317,60.1659,7.95,84,16,10.22,few clouds
141,Faanui,PF,-16.4833,-151.75,78.64,71,99,15.66,overcast clouds
142,Srednekolymsk,RU,67.45,153.6833,-7.69,99,97,6.87,overcast clouds
143,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,75,12.66,broken clouds
144,Phangnga,TH,8.4509,98.5298,81.91,93,85,3.78,overcast clouds
145,Dali,CN,25.7,100.1833,50.68,89,0,3.44,clear sky
146,Zunyi,CN,27.6867,106.9072,54.3,95,94,3.56,light rain
147,Chudniv,UA,50.052,28.1175,39.9,71,0,7.61,clear sky
148,Srivardhan,IN,18.0333,73.0167,77.99,70,100,5.26,overcast clouds
149,Dingle,PH,10.9995,122.6711,74.89,90,100,7.56,overcast clouds
150,Hervey Bay,AU,-25.2986,152.8535,75.04,65,40,18.39,scattered clouds
151,Tinalmud,PH,13.5941,122.878,78.91,81,33,11.56,scattered clouds
152,Avarua,CK,-21.2078,-159.775,75.25,69,75,14.97,light rain
153,Svetlyy,RU,54.675,20.1347,48.25,73,39,9.73,scattered clouds
154,Castro,BR,-24.7911,-50.0119,60.26,96,98,6.02,overcast clouds
155,Tutoia,BR,-2.7619,-42.2744,85.98,86,23,9.78,few clouds
156,Nakamura,JP,32.9833,132.9333,56.84,94,56,3.85,broken clouds
157,Sisimiut,GL,66.9395,-53.6735,35.26,91,83,24.85,light rain
158,Sobolevo,RU,54.4299,31.8996,39.36,82,1,8.14,clear sky
159,Mandalgovi,MN,45.7625,106.2708,30.29,57,28,9.95,scattered clouds
160,Bowen,AU,-20.0167,148.2333,80.24,72,16,18.68,few clouds
161,Pringsewu,ID,-5.3582,104.9744,74.12,95,99,1.79,overcast clouds
162,Miri,MY,4.4148,114.0089,75.34,100,40,3.44,scattered clouds
163,Dudinka,RU,69.4058,86.1778,-12.84,100,92,6.17,overcast clouds
164,Madang,PG,-5.2246,145.7966,78.03,89,100,2.84,overcast clouds
165,Coquimbo,CL,-29.9533,-71.3436,60.53,72,75,10.36,broken clouds
166,Bozhou,CN,33.8772,115.7703,55.8,74,56,9.1,light rain
167,Fortuna,US,40.5982,-124.1573,69.48,65,90,1.01,overcast clouds
168,Orta Nova,IT,41.3299,15.7107,57.22,74,99,3.2,overcast clouds
169,Truro,GB,50.2653,-5.0544,52.88,76,40,23.02,scattered clouds
170,Laurinburg,US,34.7741,-79.4628,74.82,51,40,6.91,scattered clouds
171,Roanoke,US,37.271,-79.9414,64.27,67,75,5.01,broken clouds
172,Lorengau,PG,-2.0226,147.2712,81.3,81,100,14.52,overcast clouds
173,Cherskiy,RU,68.75,161.3,-2.0,99,100,4.97,overcast clouds
174,Kuloy,RU,61.0305,42.4925,38.71,95,98,4.18,overcast clouds
175,Owen Sound,CA,44.5672,-80.9435,54.01,78,12,1.01,few clouds
176,Bereda,ES,43.2686,-7.5406,56.41,95,100,6.78,overcast clouds
177,Coruripe,BR,-10.1256,-36.1756,77.7,76,60,11.12,broken clouds
178,Tankhoy,RU,51.5528,105.1306,38.57,65,67,6.35,broken clouds
179,Nadym,RU,65.5333,72.5167,2.77,86,21,7.29,few clouds
180,Klaksvik,FO,62.2266,-6.589,41.92,64,100,3.06,overcast clouds
181,Jalu,LY,29.0331,21.5482,67.71,70,47,8.46,scattered clouds
182,Kiama,AU,-34.6833,150.8667,62.26,80,78,6.06,broken clouds
183,Tessalit,ML,20.1986,1.0114,83.57,14,20,2.21,few clouds
184,Nioro,GM,13.35,-15.75,78.31,74,87,6.76,overcast clouds
185,Kaeo,NZ,-35.1,173.7833,63.32,66,64,5.68,broken clouds
186,Ziro,IN,27.6333,93.8333,44.15,89,25,2.66,scattered clouds
187,Sorland,NO,67.667,12.6934,50.07,84,100,22.21,overcast clouds
188,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,40,3.44,scattered clouds
189,Hambantota,LK,6.1241,81.1185,78.13,88,48,3.69,scattered clouds
190,Saint-Augustin,CA,51.226,-58.6502,45.16,68,96,4.09,overcast clouds
191,Ponta Delgada,PT,37.7333,-25.6667,72.5,88,40,8.05,scattered clouds
192,Upernavik,GL,72.7868,-56.1549,32.79,98,100,20.2,snow
193,Pisco,PE,-13.7,-76.2167,68.05,68,0,23.02,clear sky
194,Roma,US,43.2128,-75.4557,55.26,91,90,11.5,overcast clouds
195,Henties Bay,NA,-22.116,14.2845,59.86,89,0,7.45,clear sky
196,Marmande,FR,44.5,0.1667,58.75,100,100,9.37,overcast clouds
197,Aripuana,BR,-9.1667,-60.6333,82.72,67,98,3.51,overcast clouds
198,Kavieng,PG,-2.5744,150.7967,83.8,74,94,15.32,light rain
199,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,84.6,70,88,1.3,overcast clouds
200,Hindoria,IN,23.9,79.5667,62.37,49,0,1.61,clear sky
201,Yinchuan,CN,38.4681,106.2731,43.57,42,12,6.55,few clouds
202,Pevek,RU,69.7008,170.3133,-0.63,97,100,4.18,overcast clouds
203,Bethel,US,41.3712,-73.414,63.01,73,90,4.61,overcast clouds
204,Solwezi,ZM,-12.1688,26.3894,67.19,77,89,4.38,overcast clouds
205,Fort Smith,US,35.3859,-94.3986,71.64,49,1,3.0,clear sky
206,Sakaiminato,JP,35.55,133.2333,53.58,100,75,3.44,broken clouds
207,Hamilton,US,39.1834,-84.5333,62.04,69,75,1.99,broken clouds
208,Sinnamary,GF,5.3833,-52.95,79.05,84,65,8.23,broken clouds
209,Ferme-Neuve,CA,46.7001,-75.4493,46.8,98,100,7.87,overcast clouds
210,Tasiilaq,GL,65.6145,-37.6368,24.96,59,79,5.14,broken clouds
211,General Roca,AR,-39.0333,-67.5833,59.4,33,100,14.5,overcast clouds
212,Hofn,IS,64.2539,-15.2082,39.43,59,100,19.15,overcast clouds
213,Ossora,RU,59.2353,163.0719,7.52,78,100,12.84,overcast clouds
214,Kodinsk,RU,58.6881,99.1844,29.37,97,100,4.76,overcast clouds
215,Husavik,IS,66.0449,-17.3389,33.71,99,100,21.72,moderate rain
216,Santa Maria,BR,-29.6842,-53.8069,72.72,86,70,6.38,broken clouds
217,Ambilobe,MG,-13.2,49.05,72.72,90,8,3.09,clear sky
218,Along,IN,28.1667,94.7667,57.24,91,22,1.86,few clouds
219,Wajima,JP,37.4,136.9,60.49,79,64,8.72,broken clouds
220,Pitimbu,BR,-7.4706,-34.8086,81.19,73,69,13.06,broken clouds
221,Constitucion,CL,-35.3333,-72.4167,57.83,78,100,5.19,overcast clouds
222,Port Hardy,CA,50.6996,-127.4199,51.98,54,1,10.36,clear sky
223,Sire,NG,12.9299,5.2043,84.0,15,100,8.39,overcast clouds
224,Victoria,HK,22.2855,114.1577,76.32,83,88,5.99,overcast clouds
225,Komsomolskiy,UZ,40.4272,71.7189,44.02,70,1,2.3,clear sky
226,Kruisfontein,ZA,-34.0033,24.7314,63.88,82,65,4.32,broken clouds
227,Lamu,KE,-2.2717,40.902,80.82,85,11,11.41,few clouds
228,Vokhma,RU,58.9303,46.7586,42.67,89,97,6.26,overcast clouds
229,Half Moon Bay,US,37.4636,-122.4286,69.58,69,1,1.01,clear sky
230,Haines Junction,CA,60.7522,-137.5108,44.55,36,100,3.44,overcast clouds
231,Soligalich,RU,59.0778,42.2864,39.36,93,78,5.84,broken clouds
232,Koumac,NC,-20.5667,164.2833,75.56,62,38,9.55,scattered clouds
233,Menongue,AO,-14.6585,17.691,64.42,87,93,8.43,overcast clouds
234,Aklavik,CA,68.2191,-135.0107,38.12,84,100,12.73,overcast clouds
235,Vrangel,RU,42.7297,133.0839,48.27,84,100,10.78,overcast clouds
236,Porto Novo,BJ,6.4965,2.6036,84.02,87,100,6.44,light rain
237,Yankton,US,42.8711,-97.3973,48.11,42,1,18.41,clear sky
238,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,89,100,12.15,light rain
239,Sabang,ID,5.8933,95.3214,80.64,77,99,2.51,overcast clouds
240,Tromso,NO,69.6496,18.957,40.37,70,0,3.0,clear sky
241,Biak,ID,-0.9131,122.8766,75.94,81,84,0.65,broken clouds
242,Piacabucu,BR,-10.4056,-36.4344,77.79,76,75,9.42,broken clouds
243,Poum,NC,-20.2333,164.0167,75.15,67,13,15.19,few clouds
244,Geraldton,AU,-28.7667,114.6,62.13,77,75,6.91,broken clouds
245,Surt,LY,31.2089,16.5887,70.95,67,99,7.0,overcast clouds
246,Gat,IL,31.61,34.7642,83.08,35,49,15.1,scattered clouds
247,Vavatenina,MG,-17.4667,49.2,71.04,96,86,0.98,overcast clouds
248,Bonthe,SL,7.5264,-12.505,76.75,90,51,4.59,moderate rain
249,Aswan,EG,24.0934,32.907,83.98,28,100,6.51,overcast clouds
250,Rocha,UY,-34.4833,-54.3333,69.89,82,99,7.25,overcast clouds
251,Vao,NC,-22.6667,167.4833,71.4,66,9,11.43,clear sky
252,Worland,US,44.0169,-107.9554,38.68,56,90,4.0,overcast clouds
253,Nikolskoye,RU,59.7035,30.7861,48.02,85,100,7.67,light rain
254,Tungor,RU,53.3808,142.9564,20.93,82,85,3.85,overcast clouds
255,Ypsonas,CY,34.6884,32.9574,72.57,60,0,16.11,clear sky
256,Cidreira,BR,-30.1811,-50.2056,68.81,85,6,22.3,clear sky
257,Prince Rupert,CA,54.3161,-130.3201,53.29,48,93,12.66,overcast clouds
258,Alhama De Murcia,ES,37.851,-1.4251,76.46,60,99,7.34,overcast clouds
259,Santander,ES,43.4647,-3.8044,58.3,94,75,5.99,broken clouds
260,Santa Barbara,US,34.7333,-120.0343,66.0,49,1,8.05,clear sky
261,Seydi,TM,39.4816,62.9137,48.81,48,0,7.58,clear sky
262,Itarema,BR,-2.9248,-39.9167,80.58,77,43,12.82,scattered clouds
263,Airai,TL,-8.9266,125.4092,59.81,82,77,2.06,broken clouds
264,Uvalde,US,29.3669,-99.767,87.13,23,1,9.22,clear sky
265,Evensk,RU,61.95,159.2333,-1.44,79,45,11.16,scattered clouds
266,Provost,CA,52.3501,-110.2683,39.65,31,0,8.61,clear sky
267,Acapulco,MX,16.8634,-99.8901,84.02,74,75,4.61,broken clouds
268,Ambagarh Chauki,IN,20.7833,80.7167,63.28,60,41,2.59,scattered clouds
269,Ndele,CF,8.4109,20.6473,76.35,48,24,2.17,few clouds
270,Lavrentiya,RU,65.5833,-171.0,12.25,83,4,12.12,clear sky
271,Zeya,RU,53.75,127.2667,23.31,54,87,3.53,overcast clouds
272,Pangai,TO,-19.8,-174.35,78.91,69,20,16.11,few clouds
273,Coffs Harbour,AU,-30.3,153.1333,64.36,77,90,4.61,overcast clouds
274,Novobirilyussy,RU,56.9514,90.6661,33.19,97,100,9.78,light snow
275,Boende,CD,-0.2167,20.8667,69.46,96,100,1.97,overcast clouds
276,Corrente,BR,-3.7367,-43.3394,74.82,93,99,2.93,overcast clouds
277,Sibolga,ID,1.7427,98.7792,76.21,89,100,2.55,overcast clouds
278,Jardim,BR,-21.4803,-56.1381,83.17,55,78,3.11,broken clouds
279,Luena,AO,-11.7833,19.9167,62.65,97,99,5.55,light rain
280,East London,ZA,-33.0153,27.9116,66.09,82,89,12.84,overcast clouds
281,Tono,JP,39.3167,141.5333,45.99,92,35,2.89,scattered clouds
282,Sergeyevka,KZ,53.88,67.4158,38.95,89,100,12.41,overcast clouds
283,Santo Antonio Do Ica,BR,-3.1022,-67.9397,87.55,64,100,0.18,overcast clouds
284,Nouadhibou,MR,20.931,-17.0347,71.58,78,2,10.36,clear sky
285,Contai,IN,21.7786,87.7536,71.28,66,3,5.57,clear sky
286,Margate,GB,51.3813,1.3862,53.04,74,0,4.0,clear sky
287,Saint Anthony,US,45.0205,-93.218,47.25,52,75,3.0,broken clouds
288,Rumoi,JP,43.9344,141.6428,47.43,90,76,8.12,broken clouds
289,Pismo Beach,US,35.1428,-120.6413,72.25,55,1,3.0,clear sky
290,Varberg,SE,57.1056,12.2508,53.73,91,100,18.88,overcast clouds
291,Parnu-Jaagupi,EE,58.6105,24.5069,50.77,88,69,8.48,broken clouds
292,Kavaratti,IN,10.5669,72.642,81.16,79,100,4.63,overcast clouds
293,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,97.72,22,44,9.51,scattered clouds
294,Lakes Entrance,AU,-37.8811,147.981,57.16,68,22,2.86,few clouds
295,Tiksi,RU,71.6872,128.8694,17.64,78,100,15.19,overcast clouds
296,Saldanha,ZA,-33.0117,17.9442,60.85,82,98,7.09,overcast clouds
297,Lompoc,US,34.6391,-120.4579,71.74,61,1,11.5,clear sky
298,Slavonice,CZ,48.9975,15.3515,47.35,91,18,13.09,few clouds
299,Arlit,NE,18.7369,7.3853,83.61,18,0,7.38,clear sky
300,Witu,KE,-2.3889,40.4382,80.76,89,17,7.25,few clouds
301,Tual,ID,-5.6667,132.75,83.98,72,99,11.21,overcast clouds
302,Omboue,GA,-1.5746,9.2618,76.14,91,100,6.91,overcast clouds
303,Te Anau,NZ,-45.4167,167.7167,51.53,67,65,4.32,heavy intensity rain
304,Saint Austell,GB,50.3383,-4.7658,53.67,76,40,23.02,scattered clouds
305,Port Blair,IN,11.6667,92.75,80.06,81,84,1.28,broken clouds
306,Madimba,TZ,-10.4,40.3333,77.45,80,7,10.27,clear sky
307,San Patricio,US,28.017,-97.5169,88.21,38,0,12.91,clear sky
308,Fuerte Olimpo,PY,-21.0415,-57.8738,87.46,52,76,5.7,broken clouds
309,Jaru,BR,-10.4389,-62.4664,79.83,77,77,1.5,broken clouds
310,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.79,87,90,11.5,overcast clouds
311,Dhidhdhoo,MV,6.8833,73.1,81.34,76,100,7.87,overcast clouds
312,Kandrian,PG,-6.2167,149.55,79.86,86,70,8.39,broken clouds
313,Serta,PT,39.8085,-8.0988,68.25,99,100,7.99,moderate rain
314,Tuy Hoa,VN,13.0833,109.3,75.45,91,99,2.82,overcast clouds
315,Milnathort,GB,56.2269,-3.4193,45.88,96,69,2.64,broken clouds
316,Saint-Georges,GD,12.0564,-61.7485,82.08,78,20,9.22,few clouds
317,Labuhan,ID,-6.8844,112.2051,80.6,77,100,1.86,overcast clouds
318,Kudahuvadhoo,MV,2.6708,72.8944,82.11,78,40,19.93,scattered clouds
319,Namatanai,PG,-3.6667,152.4333,80.67,80,78,7.65,light rain
320,Zhaotong,CN,27.3167,103.7167,45.3,97,100,4.29,overcast clouds
321,Tarko-Sale,RU,64.9225,77.785,4.46,94,97,13.38,overcast clouds
322,Anadyr,RU,64.75,177.4833,-7.01,76,20,11.01,few clouds
323,Clyde River,CA,70.4692,-68.5914,17.4,89,100,5.57,overcast clouds
324,Sartana,UA,47.1744,37.6927,46.85,25,0,12.75,clear sky
325,Kamenka,RU,51.3223,42.7678,42.42,73,1,6.89,clear sky
326,Lebanon,US,36.2081,-86.2911,66.61,63,40,4.61,scattered clouds
327,Yarada,IN,17.65,83.2667,78.98,81,37,7.2,scattered clouds
328,Okhotsk,RU,59.3833,143.3,8.35,72,0,15.08,clear sky
329,Mana,GF,5.6592,-53.7767,80.26,79,68,8.1,broken clouds
330,Luanda,AO,-8.8368,13.2343,75.94,78,40,11.9,scattered clouds
331,La Asuncion,VE,11.0333,-63.8628,80.71,75,99,11.48,overcast clouds
332,Te Horo,NZ,-40.8084,175.1233,58.68,84,79,6.69,broken clouds
333,Mananara,MG,-16.1667,49.7667,73.26,93,24,1.07,few clouds
334,Lasa,IT,46.6166,10.7002,50.74,97,100,4.27,overcast clouds
335,Marang,MY,5.2056,103.2059,76.91,88,94,3.71,overcast clouds
336,Bathsheba,BB,13.2167,-59.5167,81.21,69,20,12.66,few clouds
337,Mount Isa,AU,-20.7333,139.5,76.77,29,15,2.3,few clouds
338,Deputatskiy,RU,69.3,139.9,-9.8,83,100,2.21,overcast clouds
339,Guajara,BR,-2.9667,-57.6667,86.2,57,70,3.49,broken clouds
340,Bosaso,SO,11.2842,49.1816,81.01,69,30,6.51,scattered clouds
341,Cockburn Town,TC,21.4612,-71.1419,84.16,65,20,0.0,few clouds
342,Tabory,RU,58.5198,64.5495,33.94,98,100,6.04,overcast clouds
343,Chapais,CA,49.7834,-74.8492,42.58,97,100,4.21,overcast clouds
344,Dunedin,NZ,-45.8742,170.5036,57.79,41,64,7.0,broken clouds
345,Kloulklubed,PW,7.0419,134.2556,77.5,70,99,4.18,overcast clouds
346,Pulandian,CN,39.3953,121.9669,42.93,49,2,13.73,clear sky
