City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bredasdorp,ZA,2021-10-31 18:10:00,-34.5322,20.0403,60.28,85,97,5.26
68,Coronado,US,2021-10-31 18:10:00,32.6859,-117.1831,73.96,73,75,3.44
69,Severo-Kurilsk,RU,2021-10-31 18:10:01,50.6789,156.125,35.55,66,99,26.33
70,Castro,BR,2021-10-31 18:10:02,-24.7911,-50.0119,60.48,96,100,7.29
71,Ulladulla,AU,2021-10-31 18:10:03,-35.35,150.4667,49.08,89,9,3.94
72,Vila Franca Do Campo,PT,2021-10-31 18:10:04,37.7167,-25.4333,73.2,87,100,13.87
73,Cayenne,GF,2021-10-31 18:10:05,4.9333,-52.3333,87.84,76,40,7.0
74,Georgetown,MY,2021-10-31 18:10:06,5.4112,100.3354,78.89,88,20,0.0
75,Lata,PT,2021-10-31 18:10:06,40.1629,-8.3327,67.93,99,100,6.53
76,Te Anau,NZ,2021-10-31 18:10:07,-45.4167,167.7167,37.6,89,59,1.25
77,Lorengau,PG,2021-10-31 18:10:07,-2.0226,147.2712,80.92,79,99,10.31
78,Haines Junction,CA,2021-10-31 18:10:09,60.7522,-137.5108,27.63,86,100,3.22
79,Bambous Virieux,MU,2021-10-31 18:10:09,-20.3428,57.7575,73.22,76,23,6.04
80,Mataura,NZ,2021-10-31 18:10:09,-46.1927,168.8643,38.61,87,67,2.19
81,Tahta,EG,2021-10-31 18:10:10,26.7693,31.5021,83.21,31,52,6.22
82,Bethel,US,2021-10-31 18:10:11,41.3712,-73.414,65.59,72,75,4.0
83,Quatre Cocos,MU,2021-10-31 18:10:11,-20.2078,57.7625,73.09,77,43,7.02
84,Gawler,AU,2021-10-31 18:10:12,-34.6,138.7333,61.21,55,100,6.15
85,Lufilufi,WS,2021-10-31 18:10:12,-13.8745,-171.5986,81.32,75,98,16.73
86,Barrow,US,2021-10-31 18:10:02,71.2906,-156.7887,28.42,86,90,20.71
87,Cabra,ES,2021-10-31 18:10:13,37.4725,-4.4421,69.39,89,98,1.01
88,Huaral,PE,2021-10-31 18:10:13,-11.495,-77.2078,66.13,59,20,9.64
89,Tiksi,RU,2021-10-31 18:10:14,71.6872,128.8694,15.75,84,100,12.8
90,Hamilton,US,2021-10-31 18:07:24,39.1834,-84.5333,62.2,73,90,1.99
91,Conceicao Do Araguaia,BR,2021-10-31 18:10:33,-8.2578,-49.2647,91.54,41,57,6.91
92,Los Llanos De Aridane,ES,2021-10-31 18:10:34,28.6585,-17.9182,69.55,84,40,9.22
93,Sterling,US,2021-10-31 18:07:43,39.0062,-77.4286,66.2,68,75,15.01
94,Tumpat,MY,2021-10-31 18:10:34,6.1978,102.171,77.94,86,98,2.75
95,Ilulissat,GL,2021-10-31 18:10:35,69.2167,-51.1,32.02,93,75,19.57
96,Balykshi,KZ,2021-10-31 18:10:35,47.0667,51.8667,39.2,93,0,4.47
